LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
287,1500,2500,ALEX KATZ Pamela.,"ALEX KATZ
Pamela.

Color lithograph and screenprint on Copperplate Deluxe paper, 1976. 723x558 mm; 28½x22 inches (sheet), full margins. Signed and numbered 7/30 in pencil, lower left. Printed by Styria Studio, New York. Co-published by Brooke Alexander, Inc., New York, and Marlborough Graphics, Inc., New York. A very good impression. Maravell 87.",,,775983
288,5000,8000,ALEX KATZ Luna Park II.,"ALEX KATZ
Luna Park II.

Color screenprint on Arches, 1973. 1016x764 mm; 40x30¼ inches (sheet), full margins. Signed and numbered 52/60 in pencil, lower left. Printed by Larry Rosen at Chiron Press, New York. Co-published by Brooke Alexander, Inc., New York, and Marlborough Graphics, Inc., New York. A very good impression of this large print with strong colors. Maravell 67.",,,776688
289,3000,5000,ALEX KATZ Flowers 2.,"ALEX KATZ
Flowers 2.

Archival pigment inks on Crane Museo Max white 365 gsm paper, 2017. 573x720 mm; 22½x28 inches (sheet), full margins. Signed and numbered 81/100 in pencil, lower left. Printed and published by Lococo Fine Art Publisher, St. Louis. A very good impression with strong colors.",,,775774
290,1500,2500,ALEX KATZ Still Life.,"ALEX KATZ
Still Life.

Aquatint and drypoint on German Etching paper, 1974. 565x783 mm; 22x30 inches (sheet), full margins. Signed and numbered 21/62 in pencil, lower left. Printed by Prawat Laucheron, New York. Co-published by Brooke Alexander, Inc., and Marlborough Graphics, Inc., New York. A very good impression.This image is based on a preparatory drawing for the painting Supper, 1973. Maravell 73.",,,775685
291,1500,2500,LOWELL NESBITT Moon 69.,"LOWELL NESBITT
Moon 69.

Group of 7 (of 8) color screenprints and screenprint title page on black wove paper, 1969. 555x760 mm; 22x30 inches (sheets), full margins. Each signed, dated and numbered 53/98 in pencil, lower margin. Published by Galerie M. E. Thelen, Essen. Very good impressions.",,,774916
292,1000,1500,FAIRFIELD PORTER Ocean I (Second State).,"FAIRFIELD PORTER
Ocean I (Second State).

Color lithograph on British handmade A. Millbourn paper, 1973. 325x666 mm; 12¾x26¼ inches, full margins. Signed and numbered 39/40 in pencil, lower margin. Printed by Resam Press, New York. Published by Brooke Alexander, Inc., New York. A very good impression. Ludman 27.Property from the estate of Anne E. C. Porter, with the estate stamp, verso.",,,776638
293,2000,3000,FAIRFIELD PORTER Ocean II (The Gale).,"FAIRFIELD PORTER
Ocean II (The Gale).

Color lithograph on Arches, 1974. 515x645 mm; 20¼x25½ inches, full margins. Signed and numbered 19/70 in pencil, lower margin. Printed by Resam Press, New York. Published by Brooke Alexander, Inc., New York. A very good impression with strong colors. Ludman 27.",,,773892
294,1500,2500,FAIRFIELD PORTER The Christmas Tree.,"FAIRFIELD PORTER
The Christmas Tree.

Color lithograph on Arches, 1971. 660x514 mm; 26x20¼ inches, full margins. Signed and numbered 6/100 in pencil, lower margin. Printed by Bank Street Atelier, Ltd., New York, with the blind stamp, lower right. Co-published by Brooke Alexander, Inc., New York, and M. Knoedler and Company, Inc., New York. A very good impression. Ludman 21.",,,775984
295,2000,3000,FAIRFIELD PORTER Apple Blossoms II and III.,"FAIRFIELD PORTER
Apple Blossoms II and III.

Two color lithographs on Arches, 1974. Each 514x641 mm; 20¼x25 inches, full margins. Both artist's proofs, aside from the edition of 50. Both signed, inscribed ""II"" or ""III"" and ""artist's proof 5/10"" in pencil, lower margin. Both printed by Resam Press, New York. Both published by Brooke Alexander, Inc., New York. Both very good impressions with strong colors. Ludman 28.Property from the estate of Anne E. C. Porter, both with the estate stamp, verso.",,,776639
296,2500,3500,LOWELL NESBITT Three Gold Iris.,"LOWELL NESBITT
Three Gold Iris.

Oil on canvas, 1976. 2167x1145 mm; 85x45 inches. Signed, dated and titled in oil, verso.Ex-collection Andrew Crispo Gallery, New York, with the label and the stock number ""81-LN-75""; private collection, New York.",,,775834
297,1000,1500,PHILIP PEARLSTEIN Girl on Stool.,"PHILIP PEARLSTEIN
Girl on Stool.

Lithograph printed in brown on Arches cream paper, 1971. 610x457 mm; 24x18 inches (sheet), full margins. Signed and numbered 85/150 in pencil, lower left. Printed by Jack Lemon, Landfall Press, Inc., Chicago, with the blind stamp, lower left and gray ink stamp, verso. Co-published by Galerie Thelen, Essen, and Galerie Kornfeld, Zurich. A very good impression. Field 22.",,,775715
298,1000,1500,PHILIP PEARLSTEIN Hunzinger Chair and Wooden Swan.,"PHILIP PEARLSTEIN
Hunzinger Chair and Wooden Swan. 

Color aquatint on Rives BFK, 1995. 330x325 mm; 13x12¾ inches, full margins. Signed, titled, dated and numbered 48/60 in pencil, lower margin. Printed by Jack Lemon, Chicago. Published by Landfall Press, Chicago. A very good impression with strong colors.",,,775811
299,1200,1800,PHILIP PEARLSTEIN Three color lithographs.,"PHILIP PEARLSTEIN
Three color lithographs.

Butterfly Kite I * Butterfly Kite II * Butterfly Kite III. Each a duotone lithograph on Arches, 2006. Each 635x806 mm; 24x31¾ inches, full margins. Each an edition of 40. Signed, titled, dated and numbered 8/40, 14/40 and III/V respectively in pencil, lower margins. Published by Segura Publishing Company, Mesa, Arizona, with the blind stamp, lower right. Very good impressions.",,,775677
300,1500,2500,ALICE NEEL Evans Twins.,"ALICE NEEL
Evans Twins.

Color screenprint on Arches Cover, 1982. 805x1069 mm; 31x42 inches (sheet), full margins. Signed, dated and numbered 46/75 in pencil, lower margin. Published by Anthology Film Archives, New York. From A Portfolio of Thirteen Prints. A very good impression with strong colors.Neel (1900-1984) had painted the growing family of contemporary artist and friend John Evans (1932-2012) since 1978. Her oil Margaret Evans Pregnant, 1978, now in the Institute for Contemporary Arts, Boston, portrayed the powerful physical transformation and self-assuredness of the pregnant woman, a topic artists had historically overlooked. The twin daughters from that pregnancy are the subjects of the current screenprint.",,,775341
301,2000,3000,WAYNE THEIBAUD The Disguise.,"WAYNE THEIBAUD
The Disguise.

Lithograph on smooth cream wove paper, 1953. 615x460 mm; 24¼x18¼ inches, full margins. Signed, titled and dated in pencil, lower margin. A very good, dark impression of this extremely scarce, early lithograph.This very early lithograph dates from shortly after Thiebaud's (b. 1920) student years at Sacramento State College (now California State University, Sacramento), where he earned a bachelor's degree in 1951 and a master's degree in 1952, while he was teaching at Sacramento City College.On a leave of absence from his teaching position during 1956-57, Thiebaud spent time in New York and became friends with Elaine (1918-1989, see lot 60) and Willem de Kooning (1904-1997, see lots 5-11) and Franz Kline (1910-1962). Stimulated by these friendships, and seeing the early proto-Pop works that Robert Rauschenberg (1925-2008, see lots 186-196, 208 and 209 ) and Jasper Johns (b. 1930, see lots 181-185) were creating in New York at the time, Thiebaud began a series of very small paintings based on images of food displayed in windows, leading him to what has been the signature theme of his work over the past five decades (see lot 302).",,,776679
302,5000,8000,WAYNE THIEBAUD Candy Counter.,"WAYNE THIEBAUD
Candy Counter.

Color linoleum cut on Arches, 1970. 470x640 mm; 18½x25 inches, full margins. Signed, dated and numbered 8/50 in pencil, lower margin. Published by Parasol Press, New York. From Seven Still-Lifes and a Rabbit. A very good impression.",,,776664
303,1500,2500,ROBERT COTTINGHAM Barrera Rosa's.,"ROBERT COTTINGHAM
Barrera Rosa's.

Color linoleum cut, 1986. 333x952 mm; 13x37½ inches, full margins. Proof, aside from the edition of 29. Signed, titled, dated and inscribed ""Presentation Proof"" in pencil, lower margin. Printed by Harlan & Weaver, New York. Published by Signet Arts, St Louis. From the same-titled portfolio. A very good impression.",,,775805
304,1000,1500,ROBERT COTTINGHAM Don't Walk.,"ROBERT COTTINGHAM
Don't Walk.

Color metal relief print on Okawara paper, 1991. 238x502 mm; 9x19¾ inches, full margins. Signed, dated, titled and numbered 120/120 in pencil, lower margin. Printed by Joe Wilfer, New York. Published by the Madison Print Club, Wisconsin. A very good impression.",,,771979
305,1500,2500,RICHARD ESTES Airport.,"RICHARD ESTES
Airport.

Color screenprint on Fabriano Cottone paper, 1981. 355x510 mm; 14x20 inches, full margins. Signed and numbered 135/250 in pencil, lower margin. Printed by Domberger, Stuttgart. Published by Parasol Press, Ltd., New York, with the blind stamp, lower left. From Urban Landscapes III. A superb impression with fresh colors.",,,776505
306,2500,3500,"CHRISTO Corridor Store Front, Project.","CHRISTO
Corridor Store Front, Project.

Two-part screenprint with hinges, to be opened; front print die-cut and mounted on acetate; rear print mounted on cardboard support, 1968. 705x555 mm; 27x21 inches, full margins. Signed, dated and numbered 84/100 in pencil, lower margin on the mount element. Printed by Hans-Peter Haas, Stuttgart. Published by Verlag Gerd Hatje, Stuttgart. Schellmann 6.",,,776645
307,1500,2500,"CHRISTO America House Wrapped, Heidelberg.","CHRISTO
America House Wrapped, Heidelberg.

Screenprint on Schoeller-Hammer paper with collage of polyethylene, 1969. 905x630 mm; 35½x24 inches, full margins. Signed and numbered 127/200 in pencil, center right. Printed by Druckerei Ebner, Aglasterhausen. Published by Edition Staeck, Heidelberg. Schellmann 28.",,,776739
308,2000,3000,ROLAND REISS The Dancing Lessons: Sympathetic Forces.,"ROLAND REISS
The Dancing Lessons: Sympathetic Forces.

Mixed-media diorama in a Lucite case, 1977. 355x610x610 mm; 14x24x24 inches (excluding base). Signed and titled in pencil, lower edge.From Reiss' (b. 1929) The Dancing Lessons series. The present work is a comment on parents living vicariously through their children who are forced to perform. Reiss' daughter was a professional dancer.Ex-collection private collection, New York.Exhibited ""Roland Reiss: The Dancing Lessons / 12 Sculptures,"" Los Angeles County Museum of Art, Los Angeles, May 24-July 3, 1977, number 9.Published Betty Ann Brown, ""Roland Reiss, Art & Life,"" Roland Reiss: A Seventeen Year Survey, Fellows of Contemporary Art, Los Angeles, 1991, page 17; Mike McGee, Roland Reiss: Painting & Sculpture, Grand Central Press, New York, 2014, page 75 (illustrated).",,,775000
309,1500,2500,GEORGE SEGAL Girl Meditating.,"GEORGE SEGAL
Girl Meditating.

Papier-mâché and vacuum-formed plastic multiple, 1975. 487x267x228 mm; 19¼x10½x9 inches. Signed, dated and numbered 12/47 in ink, lower center inside cast.",,,776721
310,1500,2500,GEORGE SEGAL Untitled (Seated Nude).,"GEORGE SEGAL
Untitled (Seated Nude).

Color pastels on brown wove paper, 1965. 455x303 mm; 18x12 inches. Signed and dated in pencil, lower right recto.Ex-collection private collection, Germany.",,,774881
311,5000,8000,BRIDGET RILEY Untitled (Richard Feigen Gallery).,"BRIDGET RILEY
Untitled (Richard Feigen Gallery).

Offset lithograph on white wove paper, 1965. 440x360 mm; 17½x14¼ inches, full margins. Signed in pencil, upper right. A pristine, superb example.Originally issued as the announcement for Riley’s (b. 1931) first New York exhibition at Richard Feigen Gallery in 1965. Many of these posters included text and were folded and mailed as invitations. An unknown number were printed without text and signed by the artist like the current work.",,,774568
312,7000,10000,FRANCIS BACON Self Portrait.,"FRANCIS BACON
Self Portrait. 

Color lithograph on Arches, 1977. 850x635 mm; 33½x25 inches, full margins. Signed in ink and numbered 123/180 in pencil, lower margin. Printed by Mourlot, Paris. Published by Galerie Claude Bernard, Paris. A very good impression. Sabatier 12.",,,775661
313,6000,9000,FRANCIS BACON Triptych (Torso).,"FRANCIS BACON
Triptych (Torso).

Color aquatint on Guarro paper, 1981. 385x295 mm; 15¼x11½ inches, full margins. Signed and numbered 70/99 in pencil, lower margin. Printed and published by Polígrafa, Barcelona. A very good impression.The center panel of the same-titled, three-part work painted by Bacon (1909-1992) from 1974 to 1977. This mysterious triptych, one of the last in a series of triptychs that Bacon painted following the suicide of his long-time companion, George Dyer, in 1971 (Dyer killed himself in the Paris hotel room where he and Bacon were staying on the eve of the opening of a landmark retrospective of Bacon's work at the Grand Palais), is believed to represent Dyer's struggles and mental anguish. Sabatier 4 (center panel).",,,776746
314,1000,1500,DAVID HOCKNEY The Church Tower and the Clock.,"DAVID HOCKNEY
The Church Tower and the Clock.

Etching with aquatint on handmade Hodgkinson paper, 1969. 280x123 mm; 11x4 inches, full margins. Signed and numbered 54/100 in pencil, lower margin. Published by Petersburg Press, London. From Illustrations for Six Fairy Tales from the Brothers Grimm. A very good impression. Scottish Arts Council 79.",,,776015
315,3000,5000,DAVID HOCKNEY A Tune.,"DAVID HOCKNEY
A Tune.

Color aquatint and etching, 1976-77. 345x425 mm; 13x16 inches, full margins. Signed and numbered 129/200 in pencil, lower margin. Published by Petersburg Press, London. From The Blue Guitar. A very good impression with strong colors. Scottish Arts Council 201.",,,776494
316,10000,15000,DAVID HOCKNEY Van Gogh Chair (White).,"DAVID HOCKNEY
Van Gogh Chair (White).

Color aquatint and etching on Somerset Satin paper, 1998. 725x702 mm; 28½x27 inches, full margins. Signed, dated and numbered 10/35 in pencil, lower margin. Published by the artist. A very good impression with strong colors. Pace 3.",,,776311
317,2500,3500,DAVID HOCKNEY 40 Pix of My House with Video (Still) Camera.,"DAVID HOCKNEY
40 Pix of My House with Video (Still) Camera.

Portfolio of 10 color laser prints, circa 1990. 216x279 mm; 8½x11 inches (sheet), full margins, loose as issued. Edition of approximately 50. With typed card from the artist and original paper envelope.Ex-collection Riva Castleman (1930-2014), New York, former Director of the Department of Prints and Illustrated Books, The Museum of Modern Art, New York.",,,774521
318,2500,3500,DAVID HOCKNEY 112 L.A. Visitors: Page 7.,"DAVID HOCKNEY
112 L.A. Visitors: Page 7.

Color laser print collages on Parsons Linen Ledger mounted on Arches (as issued), 1990-91. 425x670 mm; 17x26¼ inches, full margins. Signed, dated, titled and numbered 2/20 in pencil, lower margin.  Published by Nishimura Gallery, Los Angeles. From the same-titled portfolio. Toyko 349.",,,765509
319,8000,12000,CHARLES BLACKMAN Three oil paintings on glass.,"CHARLES BLACKMAN
Three oil paintings on glass.

Reverse painted on glass, circa 1968. 500x395 mm; 19x15 inches (sight).Ex-collection South Yarra Gallery, South Yarra, Victoria, with the label on the frame back; David Rockefeller, New York, with the label on the frame back.Born in Sydney, Australia, Blackman (1928-2018) is a celebrated 20th Century Australian artist who embraced figurativism. Largely self-taught, he worked as an illustrator before enmeshing himself in the community of artists in Melbourne, eventually co-founding the Antipodeans group who rejected Abstract Expressionism and other non-figurative styles.",,,775016
320,1500,2500,PETER MILTON The Jolly Corner.,"PETER MILTON
The Jolly Corner.

Portfolio with complete text and 21 etchings with aquatint, 1971. 480x380 mm; 19x15 inches (sheets), full margins, loose as issued. One of 150 numbered copies on Rives Buff paper, from a total edition of 184. Signed and numbered 26/150 in pencil on the justification page. The frontispiece etching also signed and dated in pencil, lower right. Printed by Impressions Workshop, Boston, with the blind stamps on the justification page. Published by the Aquarius Press, Baltimore and New York. Original dark brown linen portfolio. Very good impressions.With--The Aspern Papers, portfolio with complete text, one etching with aquatint and 18 facsimile drawings, 1993. 240x300 mm; 9½x11 inches, full margin. Signed, dated, titled and numbered 203/250 in pencil, lower margin and signed and numbered in pencil on the justification page. Printed by Sabina Klein, New York. Published by David R. Godine, Boston. Original tan linen portfolio. McNulty 62-82 and 114.",,,776018
321,2000,3000,PETER MILTON Group of 4 prints.,"PETER MILTON
Group of 4 prints.

Collecting with Rudi, etching and engraving, 1974. Signed, dated, titled and numbered 91/140 in pencil, lower margin * Second Opinion, etching and engraving, 1974. Trial proof, aside from the edition of 140. Signed, titled, dated and inscribed ""Trial proof"" in pencil, lower margin * April's August, engraving and direct photo-transfer, 1975. Signed, titled, dated and numbered 7/160 in pencil, lower margin * Sanctuary's Edge, lift-ground etching and engraving, 1981. Signed, titled, dated and numbered 38/175 in pencil, lower margin. Various sizes and conditions. Each very good impressions. Milton 102 and 92.",,,774498
322,1500,2500,WILLIAM KENTRIDGE Landscape.,"WILLIAM KENTRIDGE
Landscape.

Drypoint, 1999. 162x198 mm; 6x7 inches, full margins. Signed and numbered 3/10 in pencil, lower margin. A very good impression.",,,775354
323,1200,1800,HOWARD HODGKIN Late Afternoon in the Museum of Modern Art.,"HOWARD HODGKIN
Late Afternoon in the Museum of Modern Art.

Soft-ground etching on Rives BFK, 1979. 745x993 mm; 29½x39 inches (sheet), full margins. Signed, dated and numbered 56/100 in red crayon, lower center. Printed and published by Petersburg Press, New York. A very good impression. Heenk 50.",,,776123
324,6000,9000,HOWARD HODGKIN Flowering Palm.,"HOWARD HODGKIN
Flowering Palm.

Color etching and carborundum with hand coloring in egg tempera on Arches, 1991. 1485x1205 mm; 58½x47½ inches (sheet), full margins. Initialed, dated and numbered 4/55 in pencil, lower center. Published by Waddington Graphics, London. A very good impression with strong colors. Heenk 89.",,,775282
325,7000,10000,HOWARD HODGKIN Night Palm.,"HOWARD HODGKIN
Night Palm.

Color etching and carborundum with hand coloring in egg tempera on Arches, 1991. 1485x1205 mm; 58½x47½ inches (sheet), full margins. Initialed, dated and numbered 48/55 in pencil, lower center. Published by Waddington Graphics, London. A very good impression with strong colors. Heenk 86.",,,775281
326,2000,3000,SEAN SCULLY Square Light 2.,"SEAN SCULLY
Square Light 2.

Color aquatint and etching on wove paper, 1988. 864x775 mm; 34x30½ inches (sheet), full margins. Signed, titled, dated and numbered 13/25 in pencil, lower margin. Printed and published by Crown Point Press, San Francisco, with the blind stamps, lower right. A very good impression with strong colors.",,,775985
327,1200,1800,GÜNTHER UECKER Head.,"GÜNTHER UECKER
Head.

Lithograph, 1984. 842x655 mm; 33¼x25 inches, full margins. Signed, dated and numbered 41/50 in pencil, lower margin. Published by Segura Publishing Company, Mesa, Arizona, with the blind stamp, lower left. A very good impression.",,,775678
328,1500,2500,GÜNTHER UECKER Baum (Hypo-Kulturstiftung).,"GÜNTHER UECKER
Baum (Hypo-Kulturstiftung).

Lithograph on Rives BFK, 1993. 910x633 mm; 36x25 inches (sheet), full margins. Signed, dated and numbered 21/200 in pencil, lower margin. Printed by Erker Presse, St. Gallen, with the blind stamp, lower left. Published by the Hypo-Kulturstiftung, München. A very good impression.",,,776656
329,1000,1500,GÜNTHER FÖRG Untitled.,"GÜNTHER FÖRG
Untitled.

Color lithograph on Rives BFK, 2004. 680x582 mm; 27x23 inches, full margins. Signed, dated and numbered 43/60 in pencil, lower margin. Printed by Stoob, St. Gallen, with the blind stamp, lower left. A very good impression with strong colors.",,,776646
330,1000,1500,MARTIN PURYEAR Untitled.,"MARTIN PURYEAR
Untitled.

Woodcut on wove paper. 276x208 mm; 10x8 inches, full margins. Signed and numbered 8/35 in pencil, lower margin. A very good impression.",,,775340
331,6000,9000,BRICE MARDEN Focus I-V.,"BRICE MARDEN
Focus I-V.

Set of 5 color etchings with aquatint on handmade Twinrocker paper, 1979. 394x279 mm; 15½x11 inches (sheets), full margins. Each signed, dated, annotated ""I"" through ""V"" and numbered 66/75 in pencil, lower margin. Printed at Aero Press, New York. Published by Brooke Alexander, New York. Very good impressions. Lewison 32.",,,776517
332,10000,15000,RICHARD SERRA Decision on the Stone.,"RICHARD SERRA
Decision on the Stone.

Lithograph on Fabriano 5 paper, 1990. 1100x1800 mm; 43x70 inches, full margins. Signed, dated and numbered 18/22 in pencil, lower right. A very good impression of this large lithograph. Berswordt-Wallrabe 55.",,,775891
333,2500,3500,RICHARD SERRA Untitled (Film Forum Print).,"RICHARD SERRA
Untitled (Film Forum Print).

Screenprint on PTI Supra 100 paper, 1990. 623x450 mm; 24½x17¾ inches, full margins. Signed, dated and numbered 335/500 in pencil, lower left. Printed by Gemini G.E.L., Los Angeles, with the blind stamps, lower right. Published by Film Forum, New York. A very good impression. Gemini 1417.",,,776750
334,1500,2500,TERRY WINTERS Primitive Segments.,"TERRY WINTERS
Primitive Segments.

Portfolio with complete text and 5 screenprints on handmade Echizen-Kizuki-Hosho paper, 1991. 580x463 mm; 23x18¼ inches (sheets), full margins, loose as issued.Printer's proof, aside from the edition of 70. Signed, dated, inscribed ""RTP"" on the title page and inscribed ""RTP"" in pencil on the front cover. Each screenprint initialed and inscribed ""RTP"" in pencil, upper or lower margin. Printed and published by Simca Print Studio, Tokyo. Very good impressions.",,,775813
335,1000,1500,SUSAN ROTHENBERG Head and Bones.,"SUSAN ROTHENBERG
Head and Bones.

Woodcut on Rives, 1980. 330x285 mm; 13x11¼ inches, full margins. Artist's proof, aside from the edition of 20. Signed, dated and inscribed ""A.P. VI"" in pencil, lower margin. Printed by Gretchen Gelb, Aeropress, New York, with the blind stamp, lower right. Published by Multiples, Inc., New York, with the blind stamp, lower right. A very good impression. Maxwell 8.",,,774152
336,1500,2500,SUSAN ROTHENBERG Red Bamboo.,"SUSAN ROTHENBERG
Red Bamboo.

Color woodcut on handmade Japan paper, 1991. 930x610 mm; 36½x24 inches, full margins. One of 11 numbered artist's proofs, aside from the edition of 39. Signed, dated, inscribed ""A.P."" and numbered 10/11 in pencil, lower margin. Published by ULAE, West Islip, with the blind stamp, lower right. A very good impression.",,,775803
337,1000,1500,DONALD SULTAN Warm and Cold by David Mamet.,"DONALD SULTAN
Warm and Cold by David Mamet.

Portfolio with complete text and 9 lithographs with hand coloring on 300-gram paper, 1985. 435x430 mm; 17¼x17 inches (sheets), full margins, loose as issued.Signed by both Sultan and Mamet and numbered 80/100 in pencil, on the justification page. Printed by Judith Solodkin, New York. Co-published by Fawbush Editions, New York, and Solo Press, Inc., New York. With the original blue linen binding. Very good impressions.",,,776246
338,2000,3000,"DONALD SULTAN Black Lemon, Aug 11, 1989.","DONALD SULTAN
Black Lemon, Aug 11, 1989.

Charcoal on paper, 1989. 288x203 mm; 11x8 inches. Initialed, titled and dated in pencil, left margin recto.This work is registered with the studio of Donald Sultan, New York, with a certificate of authenticity.Ex-collection M. Knoedler & Co., Inc., New York, with the label; sold Christie's, New York, March 6, 2014, sale 2824, lot 185; acquired by current owner, private collection, New Jersey.",,,775186
339,2000,3000,DONALD SULTAN Wall Flowers.,"DONALD SULTAN
Wall Flowers.

Color screenprint on Somerset Rag paper, 1994. 870x608 mm; 34¼x24 inches (sheet), full margins. Initialed, titled and dated in pencil, left margin, and numbered 7/50 in pencil, lower margin. Printed by Jo Watanabe Studio, New York. Published by American Image Editions, New York. A superb impression with vibrant colors.",,,774431
340,1500,2500,DONALD SULTAN Two color screenprints.,"DONALD SULTAN
Two color screenprints.

Two Pears, a Lemon, and an Egg * Pomegranate. Both 1994. Both 305x305 mm; 12x12 inches, full margins. Both signed, titled, dated and numbered 18/125 in pencil, lower and left margins. Published by Parasol Press, Ltd., New York. Both very good impressions with strong colors.",,,775057
341,2000,3000,RAFAEL FERRER Traitor #33.,"RAFAEL FERRER
Traitor #33.

Oil stick and pencil on Arches, 1981. 762x570 mm; 30x22 inches. Signed, dated and inscribed ""#33"" in pencil, lower right recto.Ex-collection private collection, Stockholm.As a Puerto Rican artist, Ferrer (b. 1933, see lot 342) has frequently commented on colonialism and other social issues such as the distribution of wealth and oppression in his art. The Traitor series explored how those throughout history who challenged the status quo were often labelled traitors. Ferrer’s focus on humanism and social progress as well as his dual existence in the mainstream art industry and as an outsider, often breaking boundaries, has caused him to label himself as a traitor to the art world, his class and nationality, and the status quo.",,,775719
342,2000,3000,RAFAEL FERRER Traitor #37.,"RAFAEL FERRER
Traitor #37.

Oil stick and pencil on Arches, 1981. 762x570 mm; 30x22 inches. Signed, dated and inscribed ""#37"" in pencil, lower right recto.Ex-collection private collection, Stockholm.As a Puerto Rican artist, Ferrer (b. 1933, see lot 341) has frequently commented on colonialism and other social issues such as the distribution of wealth and oppression in his art. The Traitor series explored how those throughout history who challenged the status quo were often labelled traitors. Ferrer’s focus on humanism and social progress as well as his dual existence in the mainstream art industry and as an outsider, often breaking boundaries, has caused him to label himself as a traitor to the art world, his class and nationality, and the status quo.",,,775720
343,1000,1500,LUIS JIMÉNEZ César Chávez.,"LUIS JIMÉNEZ
César Chávez.

Lithograph on vellum, 2008. 705x555 mm; 27¾x21¾ inches, full margins. With the artist's estate blind stamp lower left. Titled and numbered 38/70 in pencil, lower margin. Both published by Segura Publishing Co., Mesa, Arizona, with the blind stamp, lower right. A very good impression.",,,775675
344,1200,1800,LUIS JIMÉNEZ Two Black Jack prints.,"LUIS JIMÉNEZ
Two Black Jack prints.

Black Jack in the Pasture, color offset lithograph on Rives BFK, 2008. 485x640 mm; 19¼x25 inches, full margins. Titled and numbered 20/45 in pencil, lower margin. With the artist's estate blind stamp, lower right and the tan ink stamp signed by agent, verso * Black Jack Grazing in Hondo, lithograph on vellum, 2008. 595x755 mm; 23½x29 inches, full margins. Titled and numbered 20/22 in pencil, lower margin. With the artist's estate blind stamp, lower left. Both published by Segura Publishing Co., Mesa, Arizona, with the blind stamp, lower right. Both very good impressions.",,,775676
345,1000,1500,SUZANNE CAPORAEL Hans Castorp (Study No. 2).,"SUZANNE CAPORAEL
Hans Castorp (Study No. 2).

Color lithograph on tan wove paper, 1989. 646x534 mm; 25½x21 inches (sheet), full margins. Signed, dated and numbered 23/36 in pencil, lower right. A very good impression with strong colors.",,,775673
346,1000,1500,JUDY CHICAGO Nine Fragments from the Delta of Venus.,"JUDY CHICAGO
Nine Fragments from the Delta of Venus.

Portfolio with complete text and 9 color etchings and aquatints with letterpress on Somerset Satin, 2004. 260x190 mm; 10¼x7 inches (sheets), full margins, loose as issued.Each signed and numbered 23/45 in pencil, lower margin. Numbered 23/45 in pencil on the justification page. Printed by Segura Publishing Company, Mesa, Arizona. Published by Flanders Graphics, Minneapolis. Original heart-shaped satin portfolio case. Very good impressions.",,,775674
347,2000,3000,ERIC FISCHL Nudes (Couple).,"ERIC FISCHL
Nudes (Couple).

Soft-ground etching and aquatint on Rives BFK, 1994. 604x450 mm; 23x17 inches, full margins. Signed and numbered 38/100 in pencil, lower margin. A very good impression.",,,776495
348,1000,1500,DAVID SALLE Canfield Hatfield I.,"DAVID SALLE
Canfield Hatfield I.

Color aquatint with photo-etching on Somerset wove paper, 1989. 600x450 mm; 23x14¾ inches, full margins. Signed, dated and numbered 46/60 in pencil, lower margin. Published by Waddington Graphics, London. From the same-titled series. A very good impression with strong colors.",,,775270
349,1000,1500,DAVID SALLE Canfield Hatfield VII.,"DAVID SALLE
Canfield Hatfield VII.

Color aquatint with photo-etching on Somerset wove paper, 1989. 600x920 mm; 23¾x36¼ inches, full margins. Signed, dated and numbered 46/60 in pencil, lower margin. Published by Waddington Graphics, London. From the same-titled series. A very good impression with strong colors.",,,775277
350,1200,1600,"NAN GOLDIN Cookie in the NY Inferno, NYC.","NAN GOLDIN
Cookie in the NY Inferno, NYC.

Cibachrome print, 1985. 610x510 mm; 24x20 inches (sheet), full margins. Signed and numbered 63/75 in felt-tip pen and black ink, verso. Published by The Estate Project for Artists with AIDS and Alliance for the Arts, New York, with the ink stamp verso. From Portfolio Honoring Artists Lost to AIDS and Benefitting the Estate Project for Artists with AIDS, 1989.",,,775724
351,1000,1500,CHUCK CLOSE Untitled (For Peter Hujar).,"CHUCK CLOSE
Untitled (For Peter Hujar).

Color digital iris print, 2000. 456x610 mm; 18x24 inches (sheet), full margins. Signed, dated and numbered 63/75 in pencil, lower margin. Printed by David Adamson, Washington, D.C. Published by The Estate Project for Artists with AIDS and Alliance for the Arts, New York. From Portfolio Honoring Artists Lost to AIDS and Benefitting the Estate Project for Artists with AIDS, 1989.",,,775722
352,1000,1500,DAVID LYNCH Untitled IX.,"DAVID LYNCH
Untitled IX.

Photogravure, 1999. 290x212 mm; 11x8 inches, full margins. Signed and numbered 1/10 in pencil, verso. Published by Tandem Press, Madison, with the blind stamp, lower right. A very good impression.",,,775808
353,1000,1500,JULIAN SCHNABEL My Wife.,"JULIAN SCHNABEL
My Wife.

Color offset lithograph on white wove paper, 1988. 680x680 mm; 26¾x26¾ inches, full margins. Signed, dated and numbered 79/200 in pencil, lower margin. Published for Anthology Film Archives, New York. A very good impression.",,,775338
354,1500,2500,JOHN BALDESSARI How to Make a Film (Edit).,"JOHN BALDESSARI
How to Make a Film (Edit). 

Screenprint on Muscletone, 1973/2011. 396x405 mm; 15x15 inches, full margins. Signed in ink, verso. Numbered 10/35 on adhesive label, verso. Printed by Axelle Fine Arts, New York. Published by Anthology Film Archives, New York. A very good impression.",,,775339
